ConceptID,ConceptLabel,Dependencies,TaxonomyID,SourceURL,source_content_hash
1,Anthropic SDK,,Platform,https://docs.anthropic.com/en/api/getting-started,sha256:e829ee3db32eb2d56146952ba5fcf01df5f81e79c9380d727dcd6d41139ac2bd
2,Anthropic Client,1,Core,https://docs.anthropic.com/en/api/getting-started,sha256:e829ee3db32eb2d56146952ba5fcf01df5f81e79c9380d727dcd6d41139ac2bd
3,AsyncAnthropic Client,1,Core,https://docs.anthropic.com/en/api/getting-started,sha256:e829ee3db32eb2d56146952ba5fcf01df5f81e79c9380d727dcd6d41139ac2bd
4,Messages API,2,Core,https://docs.anthropic.com/en/api/getting-started,sha256:e829ee3db32eb2d56146952ba5fcf01df5f81e79c9380d727dcd6d41139ac2bd
5,system message,4,Message,https://docs.anthropic.com/en/api/getting-started,sha256:e829ee3db32eb2d56146952ba5fcf01df5f81e79c9380d727dcd6d41139ac2bd
6,user message,4,Message,https://docs.anthropic.com/en/api/getting-started,sha256:e829ee3db32eb2d56146952ba5fcf01df5f81e79c9380d727dcd6d41139ac2bd
7,assistant message,4,Message,https://docs.anthropic.com/en/api/getting-started,sha256:e829ee3db32eb2d56146952ba5fcf01df5f81e79c9380d727dcd6d41139ac2bd
8,content block,4,Message,https://docs.anthropic.com/en/api/getting-started,sha256:e829ee3db32eb2d56146952ba5fcf01df5f81e79c9380d727dcd6d41139ac2bd
9,tool_use block,8,Tool,https://docs.anthropic.com/en/api/getting-started,sha256:e829ee3db32eb2d56146952ba5fcf01df5f81e79c9380d727dcd6d41139ac2bd
10,tool_result block,9,Tool,https://docs.anthropic.com/en/api/getting-started,sha256:e829ee3db32eb2d56146952ba5fcf01df5f81e79c9380d727dcd6d41139ac2bd
11,tool definition,4,Tool,https://docs.anthropic.com/en/api/getting-started,sha256:e829ee3db32eb2d56146952ba5fcf01df5f81e79c9380d727dcd6d41139ac2bd
12,input_schema,11,Tool,https://docs.anthropic.com/en/api/getting-started,sha256:e829ee3db32eb2d56146952ba5fcf01df5f81e79c9380d727dcd6d41139ac2bd
13,computer_use tool,9,Tool,https://docs.anthropic.com/en/api/getting-started,sha256:e829ee3db32eb2d56146952ba5fcf01df5f81e79c9380d727dcd6d41139ac2bd
14,bash_tool,9,Tool,https://docs.anthropic.com/en/api/getting-started,sha256:e829ee3db32eb2d56146952ba5fcf01df5f81e79c9380d727dcd6d41139ac2bd
15,text_editor_tool,9,Tool,https://docs.anthropic.com/en/api/getting-started,sha256:e829ee3db32eb2d56146952ba5fcf01df5f81e79c9380d727dcd6d41139ac2bd
16,tool_choice,11,Tool,https://docs.anthropic.com/en/api/getting-started,sha256:e829ee3db32eb2d56146952ba5fcf01df5f81e79c9380d727dcd6d41139ac2bd
17,Extended Thinking,4,Reasoning,https://docs.anthropic.com/en/api/getting-started,sha256:e829ee3db32eb2d56146952ba5fcf01df5f81e79c9380d727dcd6d41139ac2bd
18,thinking block,17,Reasoning,https://docs.anthropic.com/en/api/getting-started,sha256:e829ee3db32eb2d56146952ba5fcf01df5f81e79c9380d727dcd6d41139ac2bd
19,budget_tokens,17,Reasoning,https://docs.anthropic.com/en/api/getting-started,sha256:e829ee3db32eb2d56146952ba5fcf01df5f81e79c9380d727dcd6d41139ac2bd
20,redacted_thinking,17,Reasoning,https://docs.anthropic.com/en/api/getting-started,sha256:e829ee3db32eb2d56146952ba5fcf01df5f81e79c9380d727dcd6d41139ac2bd
21,Prompt Caching,4,Efficiency,https://docs.anthropic.com/en/api/getting-started,sha256:e829ee3db32eb2d56146952ba5fcf01df5f81e79c9380d727dcd6d41139ac2bd
22,cache_control ephemeral,21,Efficiency,https://docs.anthropic.com/en/api/getting-started,sha256:e829ee3db32eb2d56146952ba5fcf01df5f81e79c9380d727dcd6d41139ac2bd
23,cache_control persistent,21,Efficiency,https://docs.anthropic.com/en/api/getting-started,sha256:e829ee3db32eb2d56146952ba5fcf01df5f81e79c9380d727dcd6d41139ac2bd
24,cache_read_input_tokens,21,Efficiency,https://docs.anthropic.com/en/api/getting-started,sha256:e829ee3db32eb2d56146952ba5fcf01df5f81e79c9380d727dcd6d41139ac2bd
25,Streaming,4,Streaming,https://docs.anthropic.com/en/api/getting-started,sha256:e829ee3db32eb2d56146952ba5fcf01df5f81e79c9380d727dcd6d41139ac2bd
26,stream context manager,25,Streaming,https://docs.anthropic.com/en/api/getting-started,sha256:e829ee3db32eb2d56146952ba5fcf01df5f81e79c9380d727dcd6d41139ac2bd
27,on_message handler,25,Streaming,https://docs.anthropic.com/en/api/getting-started,sha256:e829ee3db32eb2d56146952ba5fcf01df5f81e79c9380d727dcd6d41139ac2bd
