ConceptID,ConceptLabel,Dependencies,TaxonomyID,SourceURL,source_content_hash
1,HuggingFace Hub,,Platform,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
2,Model Hub,1,Hub,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
3,Dataset Hub,1,Hub,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
4,Space Hub,1,Hub,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
5,Model Card,2,Hub,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
6,LFS Large File Storage,2,Hub,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
7,AutoModel,2,Transformers,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
8,AutoTokenizer,2,Transformers,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
9,pipeline API,7|8,Transformers,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
10,Trainer,7,Transformers,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
11,TrainingArguments,10,Transformers,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
12,BPE Tokenizer,8,Tokenizer,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
13,WordPiece Tokenizer,8,Tokenizer,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
14,SentencePiece,8,Tokenizer,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
15,Fast Tokenizer,8|12,Tokenizer,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
16,LoRA,7,PEFT,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
17,QLoRA,16,PEFT,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
18,PromptTuning,7,PEFT,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
19,IA3,7,PEFT,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
20,AdaLoRA,16,PEFT,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
21,PeftModel,16|17,PEFT,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
22,SFTTrainer,10,TRL,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
23,DPOTrainer,10,TRL,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
24,PPOTrainer,10,TRL,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
25,RewardTrainer,10,TRL,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
26,InferenceClient,1,Inference,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
27,InferenceEndpoint,26,Inference,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
28,Serverless Inference API,26,Inference,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
29,load_dataset,3,Dataset,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
30,DatasetDict,29,Dataset,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
31,dataset map,29,Dataset,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
32,dataset filter,29,Dataset,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
33,evaluate library,1,Evaluation,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
34,metric,33,Evaluation,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
35,EvaluationSuite,33,Evaluation,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
36,DiffusionPipeline,1,Diffusers,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
37,StableDiffusionPipeline,36,Diffusers,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
38,Accelerator,1,Accelerate,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
39,distributed training,38|10,Accelerate,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
40,GGUF format,2,Quantization,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
41,GGML format,40,Quantization,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
42,llama.cpp integration,41,Quantization,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
43,bitsandbytes,17,Quantization,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
44,Gradio Blocks,4,Demo,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
45,Gradio Interface,44,Demo,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
46,ChatInterface,44,Demo,https://huggingface.co/docs/,sha256:2152d78f03c0e058e2a5c58acc07e926278705903030e40cebaf47ac75e4aaec
